title,price,age,quantity,link
Бум-Бум. Щенячий патруль (Trefl),52.00 руб.,Возраст игроков 6+,Количество игроков 2-4,http://www.nastolki.by/все-игры/бум-бум.-щенячий-патруль-trefl/
Котята (Trefl),36.00 руб.,Возраст игроков 6+,Количество игроков 2-4,http://www.nastolki.by/все-игры/котята-trefl/
Mistakos Level Up (Мистакос Level Up),47.00 руб.,Возраст игроков 5+,Количество игроков 1-3,http://www.nastolki.by/все-игры/mistakos-level-up-мистакос-level-up/
Палео: Ужасные птицы (Paleo: Die Terrorvögel),11.00 руб.,Возраст игроков 10+,Количество игроков 2-4,http://www.nastolki.by/все-игры/палео-ужасные-птицы-paleo-die-terrorvögel/
Палео (Paleo),151.00 руб.,Возраст игроков 10+,Количество игроков 2-4,http://www.nastolki.by/все-игры/палео-paleo/
Штиль (Tranquility),37.00 руб.,Возраст игроков 8+,Количество игроков 1-5,http://www.nastolki.by/все-игры/штиль-tranquility/
Каркассон. Big Box,151.00 руб.,Возраст игроков 7+,Количество игроков 2-6,http://www.nastolki.by/все-игры/каркассон.-big-box/
Миконки (Micons),26.00 руб.,Возраст игроков 3+,Количество игроков 2-4,http://www.nastolki.by/все-игры/миконки-micons/
Зомби в городе (Zombie Teenz Evolution),65.00 руб.,Возраст игроков 8+,Количество игроков 2-4,http://www.nastolki.by/все-игры/зомби-в-городе-zombie-teenz-evolution/
Фиеста. Карнавал мёртвых (Fiesta de los Muertos),77.00 руб.,Возраст игроков 12+,Количество игроков 4-8,http://www.nastolki.by/все-игры/фиеста.-карнавал-мёртвых-fiesta-de-los-muertos/
МикроМакро. Город Улик (MicroMacro: Crime City),84.00 руб.,Возраст игроков 12+,Количество игроков 1-4,http://www.nastolki.by/все-игры/микромакро.-город-улик-micromacro-crime-city/
Хуанхэ и Янцзы (Yellow & Yangtze),125.00 руб.,Возраст игроков 14+,Количество игроков 2-4,http://www.nastolki.by/все-игры/хуанхэ-и-янцзы-yellow-yangtze/
Ранние пташки,13.00 руб.,Возраст игроков 8+,Количество игроков 3-6,http://www.nastolki.by/все-игры/ранние-пташки/
Андор: Новые герои (Legends of Andor: New Heroes),62.00 руб.,Возраст игроков 10+,Количество игроков 2-6,http://www.nastolki.by/все-игры/андор-новые-герои-legends-of-andor-new-heroes/
Exit: Квест – Полёт в неизвестность (Exit: The Game – The Stormy Flight),22.00 руб.,Возраст игроков 12+,Количество игроков 1-4,http://www.nastolki.by/все-игры/exit-квест-–-полёт-в-неизвестность-exit-the-game-–-the-stormy-flight/
Сундучок знаний. Мир динозавров,49.00 руб.,Возраст игроков 6+,Количество игроков 1+,http://www.nastolki.by/все-игры/сундучок-знаний.-мир-динозавров/
IQ лото для малышей. Угадай, кто это? Найди половинку (Айрис-пресс),11.00 руб.,Возраст игроков 4+,Количество игроков 2-4,http://www.nastolki.by/все-игры/iq-лото-для-малышей.-угадай-кто-это-найди-половинку-айрис-пресс/
IQ лото для малышей. Счёт и фигуры. Подбери число (Айрис-пресс),11.00 руб.,Возраст игроков 4+,Количество игроков 2-4,http://www.nastolki.by/все-игры/iq-лото-для-малышей.-счёт-и-фигуры.-подбери-число-айрис-пресс/
IQ лото для малышей. Волшебный праздник. Подбери силуэт (Айрис-пресс),11.00 руб.,Возраст игроков 3+,Количество игроков 2-4,http://www.nastolki.by/все-игры/iq-лото-для-малышей.-волшебный-праздник.-подбери-силуэт-айрис-пресс/
IQ лото для малышей. Азбука. Подбери букву (Айрис-пресс),11.00 руб.,Возраст игроков 4+,Количество игроков 2-4,http://www.nastolki.by/все-игры/iq-лото-для-малышей.-азбука.-подбери-букву-айрис-пресс/
Пчелы. Тайное королевство (Bees: The Secret Kingdom),32.00 руб.,Возраст игроков 6+,Количество игроков 2-6,http://www.nastolki.by/все-игры/пчелы.-тайное-королевство-bees-the-secret-kingdom/
Пентаго Третье Измерение (Pentago Tripple),56.00 руб.,Возраст игроков 8+,Количество игроков 2-4,http://www.nastolki.by/все-игры/пентаго-третье-измерение-pentago-tripple/
Путь героя. Бесы и фамильяры (Roll Player: Fiends & Familiars),113.00 руб.,Возраст игроков 14+,Количество игроков 1-5,http://www.nastolki.by/все-игры/путь-героя.-бесы-и-фамильяры-roll-player-fiends-familiars/
Путь героя. Чудовища и приспешники (Roll Player: Monsters & Minions),113.00 руб.,Возраст игроков 14+,Количество игроков 1-5,http://www.nastolki.by/все-игры/путь-героя.-чудовища-и-приспешники-roll-player-monsters-minions/
Мельница. Уютные истории (Windmill: Cozy Stories),18.00 руб.,Возраст игроков 8+,Количество игроков 3-5,http://www.nastolki.by/все-игры/мельница.-уютные-истории-windmill-cozy-stories/
Ганеша (Ganesha),87.00 руб.,Возраст игроков 14+,Количество игроков 2-4,http://www.nastolki.by/все-игры/ганеша-ganesha/
Марко Поло 2: На службе хана (Marco Polo II: In The Service Of The Khan),170.00 руб.,Возраст игроков 12+,Количество игроков 2-4,http://www.nastolki.by/все-игры/марко-поло-2-на-службе-хана-marco-polo-ii-in-the-service-of-the-khan/
